Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
dot,flat,8,64,100,512,0.508779059958458,1.965489696218336,0.999851,850.2042007446289
dot,flat,8,128,1,128,0.47855344371795655,2.089630767737964,0.993,830.9605870246887
dot,flat,8,128,1,256,0.4873467555999756,2.051927069400296,0.993,853.8254244327545
dot,flat,8,128,1,512,0.4789315336942673,2.0879811197363423,0.993,847.6769363880157
dot,flat,8,128,10,128,0.45104894168376924,2.217054309598848,0.99918,795.9036300182343
dot,flat,8,128,10,256,0.43041748287677767,2.323325700704136,0.99925,800.2708268165588
dot,flat,8,128,10,512,0.4752047791004181,2.1043559408073307,0.99923,796.1032485961914
dot,flat,8,128,100,128,0.4850629961490631,2.061587892581056,0.999838,807.0490543842316
dot,flat,8,128,100,256,0.47422446389198303,2.108706058293475,0.999845,816.394688129425
dot,flat,8,128,100,512,0.47872790217399597,2.088869262599499,0.999854,804.839033126831
dot,flat,8,512,1,128,0.45433669300079343,2.2010108701439477,0.993,796.494068145752
dot,flat,8,512,1,256,0.45287075786590575,2.2081355058391696,0.993,797.0835771560669
dot,flat,8,512,1,512,0.45086328229904177,2.217967262494299,0.993,810.8423235416412
dot,flat,8,512,10,128,0.4540294338941574,2.2025003784955457,0.99923,784.360925912857
dot,flat,8,512,10,256,0.4530395703315735,2.207312706190573,0.99917,805.7113926410675
dot,flat,8,512,10,512,0.45173462750911714,2.213689053491516,0.99919,796.7970945835114
dot,flat,8,512,100,128,0.455971878862381,2.193117703870099,0.999846,799.8940858840942
dot,flat,8,512,100,256,0.46054687149524687,2.1713316535042853,0.999864,795.2087984085083
dot,flat,8,512,100,512,0.4580831331729889,2.1830098678231917,0.999855,808.1342535018921
dot,flat,16,64,1,128,0.4551650876045227,2.197005058676349,0.993,796.727046251297
dot,flat,16,64,1,256,0.45474156894683837,2.199051215651906,0.993,796.2217371463776
dot,flat,16,64,1,512,0.47573312814235685,2.1020188438522265,0.993,802.4661271572113
